word,meaning,children,parent,related,images,reference
ไซ ๔,น. ชื่อหญ้าชนิด **Leersia hexandra** Sw. ในวงศ์ Gramineae ชอบขึ้นในที่ลุ่ม ใบยาวแหลมคม.,,,,,
ไซ้ ๑,"ก. กิริยาที่นกหรือเป็ดเอาปากยํ้า ๆ ขนหรือหาอาหาร, ซุกซอนไปเรื่อย ๆ เช่น เด็กไซ้อกแม่หานมกิน.",ไซ้ท้อง,,,,
ไซ้ ๒,ก. **ดู ไซร้** .,,,ไซร้,,
ไซ้ท้อง,ก. ทำให้รู้สึกปวดจี๊ด ๆ หลายที่ในท้อง เช่น ยาดำไซ้ท้อง.,,ไซ้ ๑,,,
ไซเกิล,"(ฟิสิกส์) น. ชุดของการเปลี่ยนแปลงที่เกิดขึ้นจากภาวะหนึ่งจนกระทั่งกลับคืนมาสู่ภาวะแท้จริงเดิมอีก เช่น การเปลี่ยนแปลงในการเคลื่อนที่ของไฟฟ้ากระแสสลับเริ่มจากภาวะที่ไม่มีกระแสจนกระทั่งกระแสทวีค่าสูงสุดในทิศทางหนึ่ง แล้วลดลงจนไม่มีกระแส จากนี้กระแสทวีค่าขึ้นอีก จนสูงสุดในทิศทางตรงข้าม แล้วจึงกลับลดลงจนสู่ภาวะไม่มีกระแสอีก ดังนี้เรียกว่า กระแสไฟฟ้าเคลื่อนที่ครบ ๑ ไซเกิล จึงใช้จำนวนไซเกิลต่อวินาทีเป็นหน่วยวัดความถี่ของกระแสไฟฟ้าสลับและความถี่ของคลื่นแม่เหล็กไฟฟ้า, ปัจจุบันใช้ เฮิรตซ์ แทน ไซเกิล. (อ. cycle).",,,,,
ไซโคลน,[-โคฺลน] น. ชื่อพายุหมุนที่มีกำลังแรงจัด ทำให้มีฝนตกหนักมาก เกิดขึ้นในมหาสมุทรอินเดีย ทะเลอาหรับ และอ่าวเบงกอล มีความเร็วลมใกล้บริเวณศูนย์กลางตั้งแต่ ๖๕ นอต หรือ ๑๒๐ กิโลเมตรต่อชั่วโมงขึ้นไป. (อ. cyclone).,,,,,
ไซน์,(คณิต) น. ไซน์ของมุมใดคืออัตราส่วน ในเมื่อถือเอารูปสามเหลี่ยมมุมฉาก (ที่มีมุมนั้น) เป็นหลัก. (อ. sine).,,,,,
ไซยาไนด์,น. เกลือปรกติของกรดไฮโดรไซยานิก (HCN) เช่น โพแทสเซียมไซยาไนด์ (KCN) โซเดียมไซยาไนด์ (NaCN) เกลือไซยาไนด์ทั้งหมดเป็นพิษอย่างร้ายแรง. (อ. cyanide).,,,,,
ไซร้,"[ไซ้] ว. คำสำหรับเน้นความหมายของคำหน้า มีความหมายไปในทางว่า อย่างนั้น, เช่นนั้น, ทีเดียว, เช่น ผลเดื่อเมื่อสุกไซร้  มีพรรณ  ภายนอกแดงดูฉัน  ชาดบ้าย (โลกนิติ), ไซ้ ก็ว่า.",,,,,
ไซเรน,(๑) น. เครื่องส่งสัญญาณเสียงเพื่อเตือนภัย บอกหมดภัย หรือเตือนให้ยวดยานอื่นหลีกทางให้ เป็นต้น (อ. siren). (๒) น. เสียงที่เกิดจากเครื่องเตือนภัย เรียก เสียงไซเรน. (อ. siren).,,,,,
ไซโล,น. สิ่งก่อสร้างขนาดใหญ่ ทำด้วยวัสดุที่แข็งแรงทนทาน ภายในมีระบบกันความชื้นและระบายอากาศเป็นต้น สำหรับเก็บผลิตผลทางเกษตรไว้ชั่วคราว. (อ. silo).,,,,,
ฌ,พยัญชนะตัวที่ ๑๒ เรียกว่า ฌอ เฌอ เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น.,,,,,
ฌาน,[ชาน] น. ภาวะที่จิตสงบแน่วแน่เนื่องมาจากการเพ่งอารมณ์ หรือการเพ่งอารมณ์จนจิตแน่วแน่เป็นสมาธิ แบ่งเป็น ๒ ประเภท คือ รูปฌาน กับ อรูปฌาน. (ป.; ส. ธฺยาน).,,,,,
ฌาปน-,"[ชาปะนะ-] น. การเผาศพ, การปลงศพ. (ป.).","ฌาปนกิจ, ฌาปนกิจสงเคราะห์, ฌาปนสถาน",,,,
ฌาปนกิจ,น. การเผาศพ.,,ฌาปน-,,,
ฌาปนกิจสงเคราะห์,(กฎ) **ดู การฌาปนกิจสงเคราะห์** .,,ฌาปน-,การฌาปนกิจสงเคราะห์,,
ฌาปนสถาน,"น. สถานที่เผาศพ, เมรุ.",,ฌาปน-,,,
เฌอ,"น. ไม้, ต้นไม้. (ข. เฌี ว่า ไม้, เฎิมเฌี ว่า ต้นไม้).",,,,,
เฌอเอม,(กลอน) น. ชะเอม.,,,,,
ญ,[ยอ] พยัญชนะตัวที่ ๑๓ เรียกว่า ญอ หญิง เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น ปัญญา สัญชาติ ผจญ โคโลญ.,,,,,
ญญ่าย,"[ยะย่าย]  (แบบ) ว. แตกจากหมู่, กระจัดกระจาย, ในคำว่า หนีญญ่ายพ่ายจแจ้น (จารึกสยาม).",,,,,
ญวน ๑,"น. ชื่อประเทศและชนชาติหนึ่งอยู่ทางทิศใต้ของประเทศจีน และทางทิศตะวันออกของประเทศลาวและเขมร, ปัจจุบันเรียกว่า เวียดนาม.",ญวนหก,,,,
ญวน ๒,น. **ดู ใบขนุน (๑)** .,,,"ใบขนุน, ใบขนุน",,
ญวนหก,น. การแสดงกายกรรมอย่างหนึ่ง.,,ญวน ๑,,,
ญัตติ,"(๑) น. คำสวดประกาศเป็นภาษาบาลี เสนอให้ที่ประชุมสงฆ์ทราบเพื่อทำกิจของสงฆ์ร่วมกัน, คำเผดียงสงฆ์ ก็ว่า (ป.). (๒)  (กฎ) ข้อเสนอเพื่อให้มีการดำเนินการอย่างหนึ่งอย่างใดในกิจการของสภาที่ทำหน้าที่นิติบัญญัติ (ป.). (๓) น. ข้อเสนอเพื่อลงมติ เช่น ผู้แทนราษฎรเสนอญัตติเข้าสู่สภาเพื่อขอให้ที่ประชุมลงมติว่าจะเห็นชอบด้วยหรือไม่ (ป.). (๔) น. หัวข้อโต้วาที เช่น โต้วาทีในญัตติว่า ขุนช้างดีกว่าขุนแผน. (ป.).",ญัตติขอเปิดอภิปรายทั่วไป,,,,
ญัตติขอเปิดอภิปรายทั่วไป,(กฎ) น. มาตรการสำคัญอย่างหนึ่งของระบบรัฐสภาที่ฝ่ายนิติบัญญัติใช้ควบคุมและตรวจสอบฝ่ายบริหาร และฝ่ายบริหารใช้ประโยชน์จากฝ่ายนิติบัญญัติในการรับฟังความคิดเห็นจากฝ่ายนิติบัญญัติ.,,ญัตติ,,,
"ญาณ, ญาณ-","[ยาน, ยานะ-, ยานนะ-] น. ปัญญาหยั่งรู้หรือกำหนดรู้ที่เกิดจากอำนาจสมาธิ, ความสามารถหยั่งรู้เป็นพิเศษ. (ป.; ส. ชฺาน).","ญาณวิทยา, ญาณศาสตร์",,,,
"ญาณ, ญาณ-","[ยาน, ยานะ-, ยานนะ-] น. ปัญญาหยั่งรู้หรือกำหนดรู้ที่เกิดจากอำนาจสมาธิ, ความสามารถหยั่งรู้เป็นพิเศษ. (ป.; ส. ชฺาน).","ญาณวิทยา, ญาณศาสตร์",,,,
ญาณวิทยา,"[ยานะวิดทะยา, ยานนะวิดทะยา] น. ปรัชญาสาขาหนึ่งว่าด้วยบ่อเกิด ลักษณะ หน้าที่ ประเภท ระเบียบวิธี และความสมเหตุสมผลของความรู้. (อ. epistemology).",,"ญาณ, ญาณ-",,,
ญาณศาสตร์,"[ยานะสาด, ยานนะสาด] น. ตำราพยากรณ์. (ป. าณ + ส. ศาสฺตฺร).",,"ญาณ, ญาณ-",,,
"ญาติ, ญาติ-","[ยาด, ยาติ-, ยาดติ-] น. คนในวงศ์วานที่ยังนับรู้กันได้ทางเชื้อสายฝ่ายพ่อหรือฝ่ายแม่. (ป.).","ญาติกา, ญาติกาญาติโก, ญาติดี, ญาติธรรม, ญาติมิตร, ญาติสืบสายโลหิต, ญาติสืบสาโลหิต, ญาติโกโหติกา",,,,
"ญาติ, ญาติ-","[ยาด, ยาติ-, ยาดติ-] น. คนในวงศ์วานที่ยังนับรู้กันได้ทางเชื้อสายฝ่ายพ่อหรือฝ่ายแม่. (ป.).","ญาติกา, ญาติกาญาติโก, ญาติดี, ญาติธรรม, ญาติมิตร, ญาติสืบสายโลหิต, ญาติสืบสาโลหิต, ญาติโกโหติกา",,,,
ญาติกา,[ยาดติ-]  (ปาก) น. ญาติ.,,"ญาติ, ญาติ-",,,
"ญาติกาญาติโก, ญาติโกโหติกา",[ยาดติ-]  (ปาก) น. เหล่าเครือญาติ.,,"ญาติ, ญาติ-",,,
"ญาติกาญาติโก, ญาติโกโหติกา",[ยาดติ-]  (ปาก) น. เหล่าเครือญาติ.,,"ญาติ, ญาติ-",,,
ญาติดี,"ก. ทำเป็นดีด้วย, ทำดีด้วย, เช่น เธอไม่ต้องมาญาติดีกับฉัน.",,"ญาติ, ญาติ-",,,
ญาติธรรม,"[ยาดติ-] น. ญาติในทางธรรม, ผู้มีความสัมพันธ์กันฉันญาติเพราะนับถือศาสนาหรือลัทธิของศาสนาร่วมกัน.",,"ญาติ, ญาติ-",,,
ญาติมิตร,(๑)  [ยาด-] น. ญาติและเพื่อนฝูง. (๒)  [ยาด-]  (ปาก) ก. ร่วมวงเล่นไพ่ตอง เช่น ไปญาติมิตรกัน.,,"ญาติ, ญาติ-",,,
"ญาติสืบสาโลหิต,ญาติสืบสายโลหิต",(กฎ) น. ญาติที่มีความสัมพันธ์กันทางสายเลือด.,,"ญาติ, ญาติ-",,,
"ญาติสืบสาโลหิต,ญาติสืบสายโลหิต",(กฎ) น. ญาติที่มีความสัมพันธ์กันทางสายเลือด.,,"ญาติ, ญาติ-",,,
ญิบ,"(ถิ่น-พายัพ) ว. สอง เช่น ญิบพัน ว่า สองพัน, หญิบ ก็ใช้.",,,,,
ญี่,"(โบ) น. สอง, เรียกลูกชายคนที่ ๒ ว่า ลูกญี่, คู่กับ ลูกหญิงคนที่ ๒ ว่า ลูกอี่.",,,,,
ญี่ปุ่น,น. ชื่อประเทศและชนชาติหนึ่งอยู่ในหมู่เกาะทางทิศตะวันออกของประเทศจีน.,,,,,
"เญยธรรม, ไญยธรรม","[เยยฺยะทำ, ไยยะทำ]  (แบบ) น. ธรรมที่ควรรู้. (ป. เยฺย + ส. ธรฺม).",,,,,
"เญยธรรม, ไญยธรรม","[เยยฺยะทำ, ไยยะทำ]  (แบบ) น. ธรรมที่ควรรู้. (ป. เยฺย + ส. ธรฺม).",,,,,
ฎ,[ดอ] พยัญชนะตัวที่ ๑๔ เรียกว่า ฎอ ชฎา เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น กฎ มงกุฎ.,,,,,
ฎีกา,(๑) น. คำอธิบายขยายความ เช่น ฎีกาพาหุง (ป. ฏีกา). (๒) น. ชื่อคัมภีร์หนังสือที่แก้หรืออธิบายคัมภีร์อรรถกถา (ป. ฏีกา). (๓) น. หนังสือที่เขียนนิมนต์พระสงฆ์ (ป. ฏีกา). (๔) น. ใบแจ้งการขอเบิกเงินจากคลัง (ป. ฏีกา). (๕) น. ใบบอกบุญเรี่ยไร (ป. ฏีกา). (๖)  (กฎ) คำร้องทุกข์ที่ราษฎรทูลเกล้าฯ ถวายต่อพระมหากษัตริย์ (ป. ฏีกา). (๗) น. ชื่อศาลยุติธรรมสูงสุดของประเทศไทย ซึ่งเรียกว่า ศาลฎีกา (ป. ฏีกา). (๘) น. การคัดค้านคำพิพากษาหรือคำสั่งศาลชั้นต้นหรือศาลอุทธรณ์ เพื่อเสนอให้ศาลฎีกาพิจารณาพิพากษาหรือวินิจฉัยชี้ขาด (ป. ฏีกา). (๙)  (โบ) น. ใบเรียกเก็บเงิน. (ป. ฏีกา). (๑๐)  (ปาก) ก. ยื่นคำร้องขอหรือคำคัดค้านต่อศาลฎีกา เช่น คดีนี้จะฎีกาหรือไม่. (ป. ฏีกา).,,,,,
ฏ,[ตอ] พยัญชนะตัวที่ ๑๕ เรียกว่า ฏอ ปฏัก เป็นอักษรกลาง ใช้เป็นพยัญชนะตัวสะกดในมาตรากดหรือแม่กด เช่น ปรากฏ นาฏ.,,,,,
ฐ,[ถอ] พยัญชนะตัวที่ ๑๖ เรียกว่า ฐอ ฐาน เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น รัฐ อัฐ.,,,,,
ฐกัด,"[ถะกัด]  (โบ; กลอน) ก. ตระกัด, ยินดี, เช่น ฐกัดนี้แก่เถ้าตุ่ยต่วมฤๅจตรู (ม. คำหลวง ชูชก).",,,,,
ฐากูร,"[ถากูน]  (แบบ) น. รูปเคารพ, เทพเจ้าที่นับถือ. (ส. กฺกุร).",,,,,
ฐาน ๑,"[ถาน] น. ที่ตั้ง เช่น ฐานทัพ, ที่รองรับ เช่น ฐานพระพุทธรูป. (ป.).","ฐานกรณ์, ฐานบัทม์, ฐานราก, ฐานสิงห์, ฐานเขียง, ฐานเชิงบาตร, ฐานเท้าสิงห์",,,,
"ฐาน ๒, ฐาน-, ฐานะ","(๑)  [ถาน, ถานะ-] น. ตำแหน่งหน้าที่ เช่น เธอต้องรับผิดชอบในฐานที่เป็นหัวหน้าห้อง (ป.). (๒) น. หลักฐาน, ลำดับความเป็นอยู่ในสังคม เช่น ทุกคนยอมรับรู้ฐานะในสังคมของเขา. (ป.).","ฐานันดร, ฐานันดรที่ ๔, ฐานานุกรม, ฐานานุรูป, ฐานานุศักดิ์",,,,
ฐาน ๓,สัน. เพราะ เช่น ถูกลงโทษฐานละเลยหน้าที่.,,,,,
ฐาน ๔,"(คณิต) น. เส้นหรือพื้นที่ซึ่งถือว่าเป็นส่วนรองรับรูปเรขาคณิต เช่น ฐานของสามเหลี่ยม ฐานของกรวย, จำนวนที่ใช้เป็นหลักในการสร้างจำนวนอื่น ๆ โดยการยกกำลังหรือหาค่าของลอการิทึม เช่น จำนวน ๓ ใน ๓ ๔ (= ๘๑) จำนวน ๗ ใน log 7 49 (= ๒), จำนวนที่บอกปริมาณในแต่ละหลักของตัวเลข เช่น เมื่อ ๖๓๕ เป็นตัวเลขฐาน ๑๐ ใช้สัญลักษณ์ว่า ๖๓๕ ๑๐ ซึ่งแทน ๕ + (๓ x ๑๐) + (๖ x ๑๐ ๒ ) เมื่อ ๖๓๕ เป็นตัวเลขฐาน ๗ ใช้สัญลักษณ์ว่า ๖๓๕ ๗ ซึ่งแทน ๕ + (๓ x ๗) + (๖ x ๗ ๒ ).",,,,,
ฐานกรณ์,[ถานกอน]  (ไว) น. ที่ตั้งและอวัยวะที่ทำให้เกิดเสียงในการออกเสียง.,,ฐาน ๑,,,
ฐานเขียง,น. ฐานรองชั้นล่างสำหรับรองฐานอื่น มีหน้ากระดานและลวดท้องไม้.,,ฐาน ๑,,,
ฐานเชิงบาตร,น. ฐานรูปเชิงบัวหน้ากระดาน.,,ฐาน ๑,,picture/16_tor_thanchoengba.jpg,
ฐานเท้าสิงห์,"น. ฐานรูปสมมุติจากสิงห์แบก, ฐานสิงห์ ก็เรียก.",,ฐาน ๑,,picture/16_tor_thanthaosing.jpg,
ฐานบัทม์,น. ฐานบัวหน้ากระดานบัวควํ่าบัวหงาย.,,ฐาน ๑,,,
ฐานราก,(๑) น. โครงสร้างตอนล่างสุดที่รองรับอาคารหรือสิ่งปลูกสร้าง (๒)  (กฎ) ส่วนของอาคารที่ใช้ถ่ายนํ้าหนักอาคารลงสู่ดิน.,,ฐาน ๑,,,
ฐานสิงห์,น. ฐานเท้าสิงห์.,,ฐาน ๑,,,
"ฐาน ๒, ฐาน-, ฐานะ","(๑)  [ถาน, ถานะ-] น. ตำแหน่งหน้าที่ เช่น เธอต้องรับผิดชอบในฐานที่เป็นหัวหน้าห้อง (ป.). (๒) น. หลักฐาน, ลำดับความเป็นอยู่ในสังคม เช่น ทุกคนยอมรับรู้ฐานะในสังคมของเขา. (ป.).","ฐานันดร, ฐานันดรที่ ๔, ฐานานุกรม, ฐานานุรูป, ฐานานุศักดิ์",,,,
"ฐาน ๒, ฐาน-, ฐานะ","(๑)  [ถาน, ถานะ-] น. ตำแหน่งหน้าที่ เช่น เธอต้องรับผิดชอบในฐานที่เป็นหัวหน้าห้อง (ป.). (๒) น. หลักฐาน, ลำดับความเป็นอยู่ในสังคม เช่น ทุกคนยอมรับรู้ฐานะในสังคมของเขา. (ป.).","ฐานันดร, ฐานันดรที่ ๔, ฐานานุกรม, ฐานานุรูป, ฐานานุศักดิ์",,,,
ฐานันดร,"น. ลำดับชั้นบุคคลในราชสกุลมี เจ้าฟ้า พระองค์เจ้า หม่อมเจ้า เป็นต้น, ลำดับชั้นยศบุคคลในราชการมี เจ้าพระยา พระยา พลเอก เป็นต้น. (ป. านนฺตร).",,"ฐาน ๒, ฐาน-, ฐานะ",,,
ฐานันดร,"น. **ดู ฐาน ๒, ฐาน-, ฐานะ** .",,,"ฐาน ๒, ฐาน ๒, ฐาน-, ฐาน-, ฐานะ, ฐานะ",,
ฐานันดรที่ ๔,น. นักหนังสือพิมพ์. (อ. fourth estate).,,"ฐาน ๒, ฐาน-, ฐานะ",,,
ฐานันดรที่ ๔,"น. **ดู ฐาน ๒, ฐาน-, ฐานะ** .",,,"ฐาน ๒, ฐาน ๒, ฐาน-, ฐาน-, ฐานะ, ฐานะ",,
ฐานานุกรม,น. ลำดับตำแหน่งยศพระสงฆ์ที่พระราชาคณะมีอำนาจตั้งสมณศักดิ์ให้ตามทำเนียบ เช่น พระปลัด พระสมุห์ พระใบฎีกา เป็นฐานานุกรมของพระราชาคณะชั้นสามัญ พระครูปลัด พระครูสมุห์ พระครูใบฎีกา เป็นฐานานุกรมของพระราชาคณะชั้นราชขึ้นไป.,,"ฐาน ๒, ฐาน-, ฐานะ",,,
ฐานานุกรม,"น. **ดู ฐาน ๒, ฐาน-, ฐานะ** .",,,"ฐาน ๒, ฐาน ๒, ฐาน-, ฐาน-, ฐานะ, ฐานะ",,
ฐานานุรูป,ว. สมควรแก่ฐานะ. (ป.).,,"ฐาน ๒, ฐาน-, ฐานะ",,,
ฐานานุรูป,"ว. **ดู ฐาน ๒, ฐาน-, ฐานะ** .",,,"ฐาน ๒, ฐาน ๒, ฐาน-, ฐาน-, ฐานะ, ฐานะ",,
ฐานานุศักดิ์,"(๑) ว. ตามควรแก่เกียรติศักดิ์. (๒)  (โบ) น. ศักดิ์ใหญ่และศักดิ์น้อย, ถ้าศักดิ์นาสูงกว่า ๔๐๐ ขึ้นไป เรียกว่า สูงนา หรือ ศักดิ์ใหญ่ ถ้าศักดิ์นาต่ำกว่า ๔๐๐ เรียกว่า ต่ำนา หรือ ศักดิ์น้อย (๓) น. ศักดิ์ที่พระราชาคณะมีอำนาจตั้งฐานานุกรมได้.",,"ฐาน ๒, ฐาน-, ฐานะ",,,
ฐานานุศักดิ์,"น. **ดู ฐาน ๒, ฐาน-, ฐานะ** .",,,"ฐาน ๒, ฐาน ๒, ฐาน-, ฐาน-, ฐานะ, ฐานะ",,
ฐานียะ,"(แบบ) ว. ควรแก่ตำแหน่ง, ตั้งอยู่ในฐานะ, มักประกอบท้ายศัพท์ เช่น ครุฐานียะ ว่า ตั้งอยู่ในฐานะเป็นครู. (ป.).",,,,,
"ฐาปน-, ฐาปนา","[ถาปะนะ-, ถาปะนา] น. การก่อสร้าง, การแต่งตั้ง, การซ่อมแซม, การตั้งขึ้น. (ป. ปน).",,,,,
"ฐาปน-, ฐาปนา","[ถาปะนะ-, ถาปะนา] น. การก่อสร้าง, การแต่งตั้ง, การซ่อมแซม, การตั้งขึ้น. (ป. ปน).",,,,,
ฐายี,"(แบบ) ว. ตั้งอยู่, ดำรงอยู่, มักประกอบท้ายศัพท์ เช่น กัปปัฏฐายี ว่า ตั้งอยู่กัปหนึ่ง. (ป.).",,,,,
ฐิตะ,"[ถิตะ]  (แบบ) ก. ยืนอยู่, ตั้งอยู่แล้ว. (ป.).",,,,,
ฐิติ,"(๑)  [ถิติ] น. การตั้งอยู่, การยืนอยู่, การดำรงอยู่ (ป.). (๒) น. การเป็นไป, ความมีชีวิตอยู่ (ป.). (๓) น. การหยุดอยู่ (ป.). (๔) น. ความมั่นคง, ความอดทน (ป.). (๕) น. ตำแหน่ง, ที่อยู่ (ป.). (๖) น. ข้อบังคับ, ข้อบัญญัติ (ป.). (๗) น. ความแน่นอน. (ป.).",,,,,
ฑ,[ทอ] พยัญชนะตัวที่ ๑๗ เรียกว่า ฑอ มณโฑ เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น ออกเสียงเป็น ด บ้าง เช่น บัณฑิต มณฑป หรือ ท บ้าง เช่น มณฑล มณฑา และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ษัฑ.,,,,,
ฑังสะ,[ทังสะ]  (แบบ) น. เหลือบ. (ป. ฑํส).,,,,,
ฑากะ,"[ทากะ]  (แบบ) น. ผักดอง, เมี่ยง. (ป.).",,,,,
ฑาหก,(๑)  [ทาหก] น. ผู้เผา (ป.). (๒) น. ไฟ. (ป.).,,,,,
ฑาหะ,"[ทาหะ]  (แบบ) น. ความร้อน, ไฟ. (ป.).",,,,,
ฒ,[ทอ] พยัญชนะตัวที่ ๑๘ เรียกว่า ฒอ ผู้เฒ่า เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น วัฒน์ วุฒิ.,,,,,
เฒ่า,"ว. แก่, มีอายุมาก, เถ้า ก็ใช้.","เฒ่าหัวงู, เฒ่าแก่",,,,
เฒ่าแก่,"(๑) น. สตรีสูงอายุที่พระเจ้าแผ่นดินโปรดให้ตั้งไว้ในตำแหน่งข้าราชการ มีหน้าที่ดูแลสตรีฝ่ายในในพระราชสำนัก (๒) น. ผู้ใหญ่ที่เป็นประธานในการสู่ขอและการหมั้น, เถ้าแก่ ก็ใช้.",,เฒ่า,,,
เฒ่าหัวงู,น. ชายสูงอายุที่มีเล่ห์เหลี่ยมหรือกลอุบายหลอกหญิงสาวเพื่อกามารมณ์.,,เฒ่า,,,
ณ ๑,[นอ] พยัญชนะตัวที่ ๑๙ เรียกว่า ณอ เณร เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น คุณ บัณฑิต.,,,,,
ณ ๒,"[นะ] บ. ใน, ที่, เป็นคำบ่งเวลาหรือสถานที่ว่า ตรงนั้นตรงนี้, เช่น ณ ที่นั้น ณ ห้องประชุม, ถ้าใช้นำหน้าสกุล หมายความว่า แห่ง เช่น ณ อยุธยา ณ เชียงใหม่ ณ นคร.",,,,,
ณรงค์,"(๑) ก. ต่อสู้ชิงชัย เช่น อนึ่งภูษาทรงณรงค์รบ ให้มีครบเครื่องเสร็จทั้งเจ็ดสี (สวัสดิรักษา). (ตัดมาจาก รณรงค์). (๒) น. การรบ, การต่อสู้. (ตัดมาจาก รณรงค์).",,,,,
เณร,น. สามเณร.,"เณรหน้าไฟ, เณรหางนาค",,,,
เณรหน้าไฟ,น. กุลบุตรที่บวชเป็นสามเณรเนื่องในพิธีเผาศพ.,,เณร,,,
เณรหางนาค,น. กุลบุตรที่บวชเป็นสามเณรต่อท้ายพิธีบวชพระ.,,เณร,,,
ด,[ดอ] พยัญชนะตัวที่ ๒๐ เรียกว่า ดอ เด็ก เป็นอักษรกลางใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น มดกัด.,,,,,
ดก,"(๑) ว. มาก, มากกว่าปรกติ, (มักใช้แก่สิ่งที่เกิดมีขึ้นตามธรรมชาติ) เช่น ต้นไม้ออกดอกออกผลมากกว่าปรกติ เรียกว่า มีดอกดก มีผลดก, ไก่ที่ไข่มากกว่าปรกติ เรียกว่า ไก่ไข่ดก, หญิงที่มีลูกถี่และมากกว่าปรกติ เรียกว่า แม่ลูกดก, คนที่มีผมมากกว่าปรกติ เรียกว่า คนผมดก (๒) ว. โดยปริยายใช้เป็นคำพูดประชด เช่น พูดว่า คงได้ดกละ หมายความว่า ไม่มีหวังที่จะได้, มีดกละ หมายความว่า ไม่มี.",ดกดื่น,,,,
ดกดื่น,"ว. มากหลาย, มีอยู่ทั่วไป, เช่น สวนนี้มีกล้วยน้ำว้าอยู่ดกดื่น หน้านี้มีมะปรางดกดื่น.",,ดก,,,
ด๊ก ๆ,(ปาก) ว. อาการที่รีบไปทำสิ่งใดสิ่งหนึ่งให้ด้วยความเต็มใจหรือสมัครใจ เช่น พอเจ้านายอยากได้ต้นไม้มาประดับห้อง เขาก็ด๊ก ๆ ไปหามาให้ พอเช้าขึ้นมาเขาก็ด๊ก ๆ พาลูกไปส่งโรงเรียน.,,,,,
ดง ๑,"น. ป่าลึกที่มีต้นไม้ใหญ่ขึ้นหนาแน่น เช่น ดงพญาเย็น, ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่น เช่น ดงกล้วย, โดยปริยายเรียกย่านที่มีคนหรือสัตว์ประเภทเดียวกันรวมอยู่ด้วยกันมาก ๆ (มักใช้แก่คนไม่ดีหรือสัตว์ที่ดุร้าย) เช่น ดงผู้ร้าย ดงเสือ.","ดงดาน, ดงดิบ, ดงดึก",,,,
ดง ๒,ก. เอาหม้อที่หุงข้าวได้ที่และรินนํ้าข้าวออกจากหม้อแล้วยกขึ้นตั้งไฟอ่อน ๆ เอียงและหมุนไปโดยรอบเพื่อให้ข้าวระอุ. (ใช้ในการหุงข้าวแบบเช็ดน้ำ).,,,,,
ดงดาน,น. ป่าทึบ.,,ดง ๑,,,
ดงดิบ,"น. ป่าในเขตอากาศร้อนบริเวณเส้นศูนย์สูตร ซึ่งมีฝนตกชุกเกือบตลอดปี มีต้นไม้สีเขียวไม่ผลัดใบ, ป่าที่มีต้นไม้หนาแน่นเขียวชอุ่มอยู่ทั้งปี.",,ดง ๑,,,
ดงดึก,น. ป่าลึกเข้าไปไกล.,,ดง ๑,,,
ดงวาย,(กลอน; แผลงมาจาก ถวาย) น. ของถวาย เช่น แต่งกระยาดงวาย ของฝากหมากปลามาไหว้ (จารึกนครชุม).,,,,,
ด้น,"(๑) ก. มุ่งหน้าฝ่าไป เช่น หนทางไกลเท่าใดก็จะด้นไปหา, ด้นดั้น หรือ ดั้นด้น ก็ว่า (๒) ก. เย็บเป็นฝีเข็มขึ้นทีลงทีสลับกันไปเรื่อย ๆ, ด้นปล่อย ก็เรียก (๓) ก. กิริยาที่หนอนชอนไชในผลไม้เป็นต้น (๔) ก. ว่ากลอนปากเปล่าโดยไม่เคร่งครัดตามหลักสัมผัส เรียกว่า ด้นกลอน. (๕) น. เรียกกลอนที่ว่าปากเปล่าโดยไม่เคร่งครัดตามหลักสัมผัส ว่า กลอนด้น (๖)  (ปาก) น. เรียกพยาธิตัวจี๊ด ว่า หนอนด้น.","ด้นกลอน, ด้นดั้น, ด้นถอยหลัง, ด้นปล่อย",,,,
ด้นกลอน,ก. ว่ากลอนปากเปล่าโดยไม่เคร่งครัดตามหลักสัมผัส.,,ด้น,,,
ด้นดั้น,"ก. มุ่งหน้าฝ่าไป เช่น ด้นดั้นไปตามหาเธอ, ด้น หรือ ดั้นด้น ก็ว่า.",,ด้น,,,
ด้นถอยหลัง,ก. เย็บผ้าวิธีหนึ่ง คล้ายวิธีด้น แต่เมื่อจะแทงลงต้องย้อนมาแทงข้างต้นอีกฝีเข็มหนึ่ง ทำให้แนวตะเข็บเหมือนฝีจักร.,,ด้น,,,
